Date,Price,MarketCap,TotalVolume,Stablecoin
2023-08-04,0.9986798538079775,83841060938.9211,17894208326.919086,tether
2023-08-05,0.9989124954709581,83719693334.73195,11293689345.822758,tether
2023-08-06,0.9989869260138814,83816979241.18967,8632620439.423523,tether
2023-08-07,0.9983198416783463,83751692193.03862,11345706293.528992,tether
2023-08-08,0.9988731533009275,83464564710.04935,22713171469.689056,tether
2023-08-09,0.9999454982095487,83534670798.40623,25194087093.52214,tether
2023-08-10,0.9997120082401099,83496944483.02469,18767301829.031578,tether
2023-08-11,0.9988989814309317,83445632345.53148,10890096033.917694,tether
2023-08-12,0.9989379212012733,83313809612.89717,8184751224.058282,tether
2023-08-13,0.9993771983831886,83355420569.70955,9189020281.947243,tether
2023-08-14,0.9993836393270443,83303287526.81169,9254138040.705431,tether
2023-08-15,0.998712649259746,83323482665.83325,12792365654.7868,tether
2023-08-16,0.9988934302939576,83089141821.30199,18746693270.259033,tether
2023-08-17,0.9997501195088656,83061154615.96309,23160234770.298016,tether
2023-08-17,1.0020931594578688,83191014027.09805,41091502697.38168,tether
2023-08-04,0.9996285234799422,26094832146.331715,21863112794.23339,usd-coin
2023-08-05,1.0004248543891299,26032430433.790546,3411266718.4144464,usd-coin
2023-08-06,0.9998442769888788,26040360466.607174,1675708346.1786625,usd-coin
2023-08-07,0.9998135184731947,26043142435.79638,1874548744.2774842,usd-coin
2023-08-08,1.0000726716840154,26135117669.341965,3622888390.5140834,usd-coin
2023-08-09,1.000084807207946,26308031420.31453,3754964287.019226,usd-coin
2023-08-10,1.0000019535862,26284261152.72976,3016939902.7773566,usd-coin
2023-08-11,0.9998613919156136,26152601233.99182,2203564212.0221443,usd-coin
2023-08-12,1.0002693796319049,26116498500.47991,1575234195.3411024,usd-coin
2023-08-13,0.9998800709724546,26161944529.388718,1242418455.6936498,usd-coin
2023-08-14,0.9999806676218262,26180583371.681644,1681826723.9697866,usd-coin
2023-08-15,0.9996884425110618,26004359971.61167,2461885539.9956408,usd-coin
2023-08-16,0.9999747938591852,26032843936.259975,3215612150.837099,usd-coin
2023-08-17,1.0009391718165703,26085565901.880783,3877504000.1972904,usd-coin
2023-08-17,1.005114350370824,26347092945.13147,8765862282.59643,usd-coin
2023-08-04,1.0001191246675198,4053357489.7926426,131679594.10309935,dai
2023-08-05,1.0005402594185786,4029077670.379351,209794476.48606485,dai
2023-08-06,1.0003301032660623,4034875321.7894125,132508117.68685412,dai
2023-08-07,0.9998699958918646,4036014525.9306407,150551791.46733713,dai
2023-08-08,0.9996348022886811,4030372874.1291633,133325065.66211098,dai
2023-08-09,1.0000691356155786,4043202455.8500404,197100141.99408382,dai
2023-08-10,1.0001285970884923,4049241793.823921,136657145.0765099,dai
2023-08-11,0.9997384303386553,4005538989.834342,92653749.31928197,dai
2023-08-12,0.9997245039253415,3966647805.424773,74527928.70457636,dai
2023-08-13,0.9997296780812843,4007856491.408019,68155296.48389661,dai
2023-08-14,1.0001504624704196,3992763292.4773326,72469695.1984451,dai
2023-08-15,0.9998489734127443,3965955127.581728,70684965.66860433,dai
2023-08-16,0.9997310066055088,3926990689.244198,85940443.77674209,dai
2023-08-17,1.0006523333914121,3921970396.5390043,72555701.25714141,dai
2023-08-17,1.0017619232044253,3894474243.6547728,178101273.19337934,dai
2023-08-04,0.9994873285621374,2965754502.923698,2523931471.6269875,true-usd
2023-08-05,1.0002055214917054,2963208724.6913414,2263612107.047173,true-usd
2023-08-06,1.000027409817357,2964796242.0079,837451374.6595312,true-usd
2023-08-07,0.9987325645024178,2961471950.179821,953829087.0514036,true-usd
2023-08-08,1.0001112384609332,2995949496.1056066,2164379754.308229,true-usd
2023-08-09,1.00037801224868,2993899221.224244,422038377.90596324,true-usd
2023-08-10,0.9996544713063622,2992011003.668246,365409884.8592205,true-usd
2023-08-11,0.9989147321640583,2965202248.8955445,285488057.9469951,true-usd
2023-08-12,0.9993007130757007,2970000981.563036,251844879.3856058,true-usd
2023-08-13,0.99946183189731,2971583199.213842,693415022.2642356,true-usd
2023-08-14,0.9987140996671054,2971640108.8052917,915942392.2169368,true-usd
2023-08-15,0.9983799396081049,2782598093.0525217,2473180011.776296,true-usd
2023-08-16,0.9991258293597036,2748982572.343445,2043435059.2334154,true-usd
2023-08-17,1.0005485617635974,2755054190.4468803,1965975645.4013388,true-usd
2023-08-17,0.997894825786269,2758292548.587719,3567674941.8328676,true-usd
2023-08-04,0.9992793818087341,3495960847.9322786,2355928058.4752817,binance-usd
2023-08-05,1.0013779646576302,3426023082.064194,2214159309.8181577,binance-usd
2023-08-06,0.9999030930677832,3417116501.473985,644927237.3684835,binance-usd
2023-08-07,0.999311377770445,3414958068.5806746,1197219927.7023318,binance-usd
2023-08-08,1.000512635988018,3395118304.396523,2470771599.929236,binance-usd
2023-08-09,1.0013825832114989,3395543128.2411556,2314895098.0592384,binance-usd
2023-08-10,0.9998618299485534,3391460966.9147196,1764632867.6477733,binance-usd
2023-08-11,0.9999567129117077,3380795156.708855,1239698033.8635173,binance-usd
2023-08-12,0.9999970672449251,3371769026.333961,845056594.8914863,binance-usd
2023-08-13,0.9999519474192957,3371366634.3943605,1180223388.0655274,binance-usd
2023-08-14,0.99926180061368,3369387146.131501,644726176.595104,binance-usd
2023-08-15,0.9998945162843768,3357144658.6799836,1444236287.5426903,binance-usd
2023-08-16,0.9996271289194077,3336755407.4440064,1500931948.7406182,binance-usd
2023-08-17,0.9989668346653119,3302040513.5017614,2987389054.4126735,binance-usd
2023-08-17,1.0090184146771701,3310103639.4217997,4516044583.782561,binance-usd
2023-08-04,0.9989884705607491,812572946.6864166,49978231.834148794,frax
2023-08-05,0.99920897461943,811260276.8017465,22484975.003480207,frax
2023-08-06,0.9989293587948835,811696236.9061817,9494045.368917417,frax
2023-08-07,0.9985876401670859,811590204.0078079,18943648.663741756,frax
2023-08-08,0.9983002002191258,810948815.239549,4033992.686865742,frax
2023-08-09,0.997941313674853,811411260.0794444,24432231.09875748,frax
2023-08-10,0.998476654264855,811374106.8568038,31068867.615793694,frax
2023-08-11,0.9983424005118708,811221645.2644128,10565430.537055215,frax
2023-08-12,0.999723022065222,812369330.4321228,8105382.541112121,frax
2023-08-13,0.9984530989068703,811429100.3560337,5043437.979053777,frax
2023-08-14,0.9988035102095473,811604888.5095365,8618341.956182031,frax
2023-08-15,0.9981863500689997,811343155.9726045,10430437.469281873,frax
2023-08-16,0.9964404351185466,809934039.9272953,16522955.270296553,frax
2023-08-17,0.9985816363039025,805669398.8094774,10353028.644160094,frax
2023-08-17,1.0016494340445299,805751357.2505283,21533241.664832726,frax
2023-08-04,0.9976781497770157,742430438.414898,23519916.791244816,usdd
2023-08-05,0.9977607778123532,743289572.2818817,20331962.600385237,usdd
2023-08-06,0.997685512967905,744173555.3998557,19107127.79415197,usdd
2023-08-07,0.99758095122894,740794735.156528,19862397.52241353,usdd
2023-08-08,0.9983055331081793,741532772.3285855,23672602.51415754,usdd
2023-08-09,0.9989591375560646,740266916.4119194,23998274.401200123,usdd
2023-08-10,0.9985732941888623,740456810.9601028,25007901.920368493,usdd
2023-08-11,0.9981148084791482,740891362.3990294,23020076.935175933,usdd
2023-08-12,0.9982239788781521,736186056.6729599,22652331.260525826,usdd
2023-08-13,0.9977662016761712,735758332.0269614,24056723.93121193,usdd
2023-08-14,0.9969452715303055,722908981.2411348,25000500.69588498,usdd
2023-08-15,0.9964314590772457,723418595.9135514,28034204.963847335,usdd
2023-08-16,0.996879772220197,723114944.1151706,26192404.751381855,usdd
2023-08-17,0.9954384185365032,723271157.2226847,26239524.21857911,usdd
2023-08-17,0.9952829715493309,721881250.3003114,30953827.06291703,usdd
2023-08-04,1.0078828065806977,513441057.2885453,3605836.4534320394,paxos-standard
2023-08-05,0.9998610946204675,506435473.41182256,9627514.043324629,paxos-standard
2023-08-06,1.0010363701637632,507549632.3725132,2010683.3236284165,paxos-standard
2023-08-07,0.9996065847553716,506842600.54407334,3665944.1904107532,paxos-standard
2023-08-08,1.0010067847486317,507344012.08798486,3304633.715416393,paxos-standard
2023-08-09,1.0003340002109231,511184795.89564705,4265273.732531733,paxos-standard
2023-08-10,1.0002365993364117,511281094.40575945,6657355.508365056,paxos-standard
2023-08-11,0.9997572000224676,505945948.07678723,12855647.955100467,paxos-standard
2023-08-12,0.9997818844596151,506177968.018055,1544045.908154856,paxos-standard
2023-08-13,1.0001418731062948,506100856.790583,3300889.482236183,paxos-standard
2023-08-14,0.9994939979209747,505894989.32161695,2275614.308320761,paxos-standard
2023-08-15,0.9996896499621077,506036774.1311856,2246954.077230793,paxos-standard
2023-08-16,0.9999741574413392,506052561.6296989,2465274.133115782,paxos-standard
2023-08-17,1.000360511253106,506388765.4909622,2276938.7517485116,paxos-standard
2023-08-17,1.0003783272140212,506367670.9524298,5970489.642510995,paxos-standard
